h,T,lambda,M,s
7011.270515,-7123510.53,0.0002549,1.838444622,0.000134163
29400.84578,-1096287.965,0.0002549,1.866580192,0.000236319
22840.22519,-30215598.64,0.000255,1.858335873,-0.000257129
12489.63333,-48503745.85,0.0002549,1.845145936,-0.000567197
28743.41186,-14664041.34,0.0002549,1.865937037,6.35693E-06
11595.49135,-57697909.37,0.0002548,1.843839324,-0.000723131
10752.67124,-22825297,0.0002549,1.842963205,-0.000131969
4278.423096,-96882357.59,1.40E-06,0.137868425,-0.001640674
8408.629815,-105927655.2,5.00E-06,0.259812596,-0.001790384
23357.98551,-94304507.12,0.0002548,1.85880351,-0.001343581
12435.99688,-63857847.95,0.0002548,1.844712535,-0.000827536
13396.45571,-22093813.21,0.0002549,1.846468483,-0.000119571
4341.687341,-21377955.69,2.50E-04,1.805626925,-0.000112038
17254.89232,-11410251.72,0.0002549,1.851500137,6.15059E-05
21383.88444,-2563565.92,0.0002549,1.856505782,0.00021145
27153.07882,-52435585.73,0.000255,1.863938565,-0.000633739
17512.33539,-17137512.28,0.0002549,1.85164065,-3.55663E-05
12275.30127,-101532909.6,4.07E-05,0.565157599,-0.001680197
29293.55639,-36508922.16,0.000255,1.866445369,-0.000363795
3929.456262,-42633128.48,6.40E-06,0.1861079,-0.000716195
29863.94608,-70878414.57,0.000255,1.867162141,-0.000946329
16581.12233,-54965511.42,0.0002549,1.850470453,-0.000676719
1474.542707,-29391188.99,8.00E-07,0.065536965,-0.000497356
26442.00527,-75628627.51,0.0002549,1.862862004,-0.001026941
6219.568543,-40631509.33,0.0002385,1.73277374,-0.00045017
22666.81401,-84792444.25,0.0002548,1.857934959,-0.00118236
5655.8706,-52832290.86,1.93E-05,0.314913377,-0.000876163
11017.92698,-68230196.4,0.0002538,1.837440535,-0.000902644
25695.10911,-37768869.43,0.000255,1.862106426,-0.00038515
24821.52813,-3536394.756,0.0002549,1.861008652,0.000194961
11011.60013,-19928922.51,0.0002549,1.843471585,-8.28783E-05
10729.149,-3694548.244,0.0002549,1.843116646,0.000192281
23889.93058,-54395156.7,0.0002549,1.859654972,-0.000667052
16491.17263,-35648496.12,0.0002549,1.850357419,-0.000349312
24643.39677,-23520347.13,0.000255,1.860601806,-0.00014365
14548.33234,-51855055.72,0.0002549,1.847732974,-0.000623999
12974.84068,-95662845.39,0.0002091,1.575830666,-0.001412304
2055.647516,-115284005.3,5.00E-07,0.064803203,-0.001953466
8860.672378,-86027501.35,7.70E-06,0.301555649,-0.001450393
22456.17969,-32329241.79,0.000255,1.857853268,-0.000292953
25588.88126,-117066976.8,0.0002549,1.861423937,-0.001729286
25269.0192,-5660672.095,0.0002549,1.861387986,0.000158956
1572.830296,-104643015.4,4.00E-07,0.052118477,-0.00177321
18820.50391,-14556604.49,0.000255,1.853284543,8.27789E-06
26212.20039,-111488567.6,0.0002549,1.862390222,-0.001634737
21243.37879,-108506983.8,0.0002548,1.855963217,-0.001584301
23922.626,-11650353.59,0.0002549,1.859879058,5.74364E-05
9010.412321,-54345930.06,0.0002533,1.831989818,-0.000667817
2734.172635,-115826863.7,5.00E-07,0.084870863,-0.001962667
3330.725381,-110555488,8.00E-07,0.103920513,-0.001873022
8907.610813,-27204715.24,0.0002549,1.840644634,-0.000206197
17488.89678,-27340913.21,0.0002549,1.851611196,-0.000208505
29062.09445,-101633740.3,0.0002549,1.866154505,-0.001467706
5683.152562,-11840845.25,0.0002549,1.83659266,5.42077E-05
19089.78195,-35318880.31,0.0002549,1.853622927,-0.000343725
3010.615192,-111875358.9,8.00E-07,0.094002251,-0.001895393
27172.22034,-98986528.63,0.0002549,1.863596619,-0.001422838
9284.447066,-58046428.02,0.0002524,1.82647818,-0.000731438
31304.2461,-84160645.45,0.0002549,1.869155076,-0.001171552
292.7950737,-55298274.48,1.00E-07,0.013360937,-0.000937159
5588.630987,-113977328.5,2.10E-06,0.169709881,-0.001929719
14675.42551,-111664782.5,0.0001544,1.261194684,-0.001738223
27763.59607,-84666822.85,0.0002549,1.864522764,-0.001180131
26392.23995,-8301279.397,0.0002549,1.862982467,0.0001142
28228.93631,-79223925.63,0.0002549,1.865107528,-0.001087878
28343.23021,-20313420.51,0.0002549,1.865434154,-8.93953E-05
2297.139802,-114951704.2,5.00E-07,0.071877671,-0.001947834
14100.28404,-6365970.469,0.0002549,1.84735294,0.000147002
13611.29985,-20289118.41,0.0002549,1.846738464,-8.89834E-05
26936.88937,-2188459.337,0.000255,1.863483894,0.000217907
3289.995054,-8791788.674,2.54E-04,1.82480133,0.000104587
