,h,T,M,Lambda_lhs,e
4018,3269.384895,-2827048.2,1.83209543,2.55E-04,2.07E-04
4019,25252.6566,-41925721.83,1.861550424,2.55E-04,-4.56E-04
4020,7057.024295,-84744.80156,1.838502118,2.55E-04,2.54E-04
4021,6398.979387,-28331429.32,1.835845195,2.55E-04,-2.25E-04
4022,2818.503885,-12328513.76,1.740211836,2.41E-04,3.20E-05
4023,2385.188002,-21484201.44,0.470379316,5.47E-05,-3.09E-04
4024,27047.8383,-4687964.536,1.863806316,2.55E-04,1.76E-04
4025,1118.431216,-43620928.89,0.045691462,1.00E-07,-7.39E-04
4026,3404.678375,-12437920.38,1.813233445,2.52E-04,4.12E-05
4027,4141.373587,-16022321.06,1.825688204,2.53E-04,-1.86E-05
4028,31169.59871,-34593814.52,1.868802873,0.0002549,-3.31E-04
4029,19626.23616,-1938116.996,1.854480056,0.0002549,2.22E-04
4030,7108.616315,-27905799.86,1.838017951,2.55E-04,-2.18E-04
4031,12498.34553,-29529330.93,1.845339884,2.55E-04,-2.45E-04
4032,27989.14349,-38596519.12,1.864989195,2.55E-04,-3.99E-04
4033,23049.72015,-13163947.94,1.858782133,0.0002549,3.18E-05
4034,8274.11912,-39306984.3,1.839116565,2.55E-04,-4.11E-04
4035,11266.99659,-2335735.733,1.843792525,0.0002549,2.15E-04
4036,21291.6983,-16838519.03,1.856389937,2.55E-04,-3.04E-05
4037,15520.80185,-38838578.34,1.848955015,2.55E-04,-4.03E-04
4038,21189.75224,-9687523.427,1.856261828,2.55E-04,9.08E-05
4039,13640.24396,-45444613.31,1.846774836,2.55E-04,-5.15E-04
4040,9836.140704,-6673593.363,1.841994459,2.55E-04,1.42E-04
4041,8496.147465,-22337519.28,1.840127574,2.55E-04,-1.24E-04
4042,9826.425587,-17057664.54,1.841982251,2.55E-04,-3.41E-05
4043,22377.3398,-21397084.2,1.857754195,2.55E-04,-1.08E-04
4044,625.4396331,-17782159.18,0.040130951,1.70E-06,-3.00E-04
4045,6068.85635,-9668813.72,1.83707735,2.55E-04,9.11E-05
4046,19959.19514,-3943954.11,1.854898464,0.0002549,1.88E-04
4047,25773.85396,-4676998.577,1.86220538,0.0002549,1.76E-04
4048,22234.74068,-27576447.69,1.857574999,2.55E-04,-2.12E-04
4049,22706.94785,-46648577.29,1.858168392,0.0002549,-5.36E-04
4050,12926.01737,-12693775.29,1.845877312,0.0002549,3.98E-05
4051,27197.98788,-2388827.677,1.863812,2.55E-04,2.15E-04
4052,20337.71975,-34568650.29,1.855191132,0.0002549,-3.31E-04
4053,15457.25062,-5938852.809,1.849058154,0.0002549,1.54E-04
4054,531.6515019,-20907789.63,0.027569093,5.00E-07,-3.54E-04
4055,13010.70325,-37779129.6,1.845800732,2.55E-04,-3.85E-04
4056,29929.31423,-26428588.22,1.867427285,0.0002549,-1.93E-04
4057,15692.98186,-7777068.41,1.849354383,0.0002549,1.23E-04
4058,15400.94497,-1200659.484,1.849170398,0.0002549,2.35E-04
4059,16050.55448,-31468451.04,1.849803722,0.0002549,-2.78E-04
4060,14192.07392,-14247850.39,1.847468286,0.0002549,1.34E-05
4061,1805.41873,-30214319.69,0.081507756,1.20E-06,-5.11E-04
4062,26030.50452,-9795668.946,1.862344897,0.0002549,8.89E-05
4063,2559.637715,-19241394.44,0.928647536,0.0001216,-2.05E-04
4064,2180.254301,-11376709.45,1.491810788,2.05E-04,1.22E-05
4065,18956.91744,-37048016.07,1.853455965,0.0002549,-3.73E-04
4066,21575.88825,-33870053.2,1.856930061,0.0002549,-3.19E-04
4067,16646.85562,-13790269.44,1.850553056,0.0002549,2.12E-05
4068,20797.98717,-40948670.07,1.855952521,0.0002549,-4.39E-04
4069,12100.59208,-35247227.14,1.844657052,2.55E-04,-3.42E-04
4070,28673.58683,-14120386.24,1.865849292,0.0002549,1.56E-05
4071,3424.923476,-6777502.775,1.830826886,2.54E-04,1.39E-04
4072,11977.66959,-5670704.559,1.844868584,0.0002549,1.59E-04
4073,28178.44525,-26618180.55,1.865227079,0.0002549,-1.96E-04
4074,579.3891004,-43147750.05,0.024518082,1.00E-07,-7.31E-04
4075,29564.08978,-9466019.459,1.866785331,2.55E-04,9.46E-05
4076,11821.57042,-19099919.23,1.844306424,2.55E-04,-6.87E-05
4077,3859.343845,-32001181.25,0.710131795,8.50E-05,-4.57E-04
4078,7426.478557,-24353219.28,1.838783388,2.55E-04,-1.58E-04
4079,30942.88403,-37392840.86,1.868700975,0.0002549,-3.79E-04
4080,23878.89142,-38556427.26,1.8596411,2.55E-04,-3.98E-04
4081,9665.391201,-42396033.51,1.841413889,2.55E-04,-4.64E-04
4082,30246.10083,-23020843.02,1.867642371,0.0002549,-1.35E-04
4083,19919.27559,-25018203.82,1.8548483,0.0002549,-1.69E-04
4084,15674.5386,-14001747.47,1.849331206,0.0002549,1.76E-05
4085,21924.00827,-44460347.88,1.857184521,0.0002549,-4.99E-04
4086,7051.429745,-1350831.37,1.838495088,2.55E-04,2.32E-04
4087,26681.43778,-26699185.38,1.863162884,2.55E-04,-1.98E-04
4088,10518.58654,-30731582.75,1.842669046,2.55E-04,-2.66E-04
4089,14997.35525,-19375746.82,1.848480232,0.0002549,-7.35E-05
4090,914.5504084,-28458657.33,0.040311258,2.00E-07,-4.82E-04
4091,30089.44281,-46015852.84,1.867628509,2.55E-04,-5.25E-04
4092,1838.657028,-879023.8092,1.796259525,2.50E-04,2.35E-04
4093,3971.830058,-2988721.152,1.834259149,2.55E-04,2.04E-04
4094,18009.91669,-3782335.526,1.852448929,0.0002549,1.91E-04
4095,6696.00227,-20495893.72,1.837865445,2.55E-04,-9.24E-05
4096,25028.77861,-41347837.21,1.861269091,2.55E-04,-4.46E-04
4097,29678.28858,-30148050.2,1.866928837,0.0002549,-2.56E-04
4098,22647.48536,-21153316.12,1.858093669,2.55E-04,-1.04E-04
4099,25060.75732,-24471258.39,1.861126276,2.55E-04,-1.60E-04
4100,10286.39321,-26901569.57,1.842560263,2.55E-04,-2.01E-04
4101,29620.95708,-41116023.34,1.867039792,2.55E-04,-4.42E-04
4102,1008.155684,-745791.2557,1.525839886,2.11E-04,1.98E-04
