,T,B,M,lambda,s
287,-1920000.0,27760.0,1460000.0,0.0002549,0.00022235762711864408
288,-1920000.0,28079.0,1460000.0,0.0002549,0.00022235762711864408
289,-1920000.0,28398.0,1460000.0,0.0002549,0.00022235762711864408
290,-1920000.0,28717.0,1460000.0,0.0002549,0.00022235762711864408
291,-1920000.0,29036.0,1460000.0,0.0002549,0.00022235762711864408
292,-1920000.0,29355.0,1460000.0,0.0002549,0.00022235762711864408
293,-1920000.0,29674.0,1460000.0,0.0002549,0.00022235762711864408
294,-1920000.0,29994.0,1460000.0,0.0002549,0.00022235762711864408
295,-1920000.0,30313.0,1460000.0,0.0002549,0.00022235762711864408
296,-1920000.0,30632.0,1460000.0,0.0002549,0.00022235762711864408
297,-1920000.0,30951.0,1460000.0,0.0002549,0.00022235762711864408
298,-1920000.0,31270.0,1460000.0,0.000255,0.00022245762711864408
299,-1920000.0,31589.0,1460000.0,0.000255,0.00022245762711864408
300,-2880000.0,0.0,137000.0,2.4e-05,-2.48135593220339e-05
301,-2880000.0,319.08,313000.0,5.3e-05,4.1864406779661e-06
302,-2880000.0,638.16,593000.0,0.0001013,5.2486440677966095e-05
303,-2880000.0,957.24,920000.0,0.0001586,0.0001097864406779661
304,-2880000.0,1276.3,1180000.0,0.0002047,0.0001558864406779661
305,-2880000.0,1595.4,1330000.0,0.0002318,0.0001829864406779661
306,-2880000.0,1914.5,1400000.0,0.0002448,0.00019598644067796609
307,-2880000.0,2233.6,1430000.0,0.0002506,0.00020178644067796612
308,-2880000.0,2552.6,1450000.0,0.000253,0.00020418644067796612
309,-2880000.0,2871.7,1450000.0,0.0002541,0.0002052864406779661
310,-2880000.0,3190.8,1450000.0,0.0002545,0.0002056864406779661
311,-2880000.0,3509.9,1460000.0,0.0002547,0.0002058864406779661
312,-2880000.0,3829.0,1460000.0,0.0002548,0.0002059864406779661
313,-2880000.0,4148.0,1460000.0,0.0002549,0.00020608644067796611
314,-2880000.0,4467.1,1460000.0,0.0002548,0.0002059864406779661
315,-2880000.0,4786.2,1460000.0,0.0002548,0.0002059864406779661
316,-2880000.0,5105.3,1460000.0,0.0002549,0.00020608644067796611
317,-2880000.0,5424.4,1460000.0,0.0002549,0.00020608644067796611
318,-2880000.0,5743.4,1460000.0,0.0002549,0.00020608644067796611
319,-2880000.0,6062.5,1460000.0,0.0002549,0.00020608644067796611
320,-2880000.0,6381.6,1460000.0,0.0002549,0.00020608644067796611
321,-2880000.0,6700.7,1460000.0,0.0002548,0.0002059864406779661
322,-2880000.0,7019.8,1460000.0,0.0002549,0.00020608644067796611
323,-2880000.0,7338.8,1460000.0,0.0002549,0.00020608644067796611
324,-2880000.0,7657.9,1460000.0,0.0002549,0.00020608644067796611
325,-2880000.0,7977.0,1460000.0,0.0002549,0.00020608644067796611
326,-2880000.0,8296.1,1460000.0,0.0002549,0.00020608644067796611
327,-2880000.0,8615.2,1460000.0,0.0002549,0.00020608644067796611
328,-2880000.0,8934.2,1460000.0,0.0002549,0.00020608644067796611
329,-2880000.0,9253.3,1460000.0,0.0002549,0.00020608644067796611
330,-2880000.0,9572.4,1460000.0,0.0002549,0.00020608644067796611
331,-2880000.0,9891.5,1460000.0,0.0002549,0.00020608644067796611
332,-2880000.0,10211.0,1460000.0,0.0002549,0.00020608644067796611
333,-2880000.0,10530.0,1460000.0,0.0002549,0.00020608644067796611
334,-2880000.0,10849.0,1460000.0,0.0002549,0.00020608644067796611
335,-2880000.0,11168.0,1460000.0,0.0002549,0.00020608644067796611
